year,category,name_of_work,staff_members
1986,DOCUMENTARY (Short Subject),The Masters of Disaster,"Sonya Friedman, Producer"
1986,DOCUMENTARY (Short Subject),Red Grooms: Sunflower in a Hothouse,"Thomas L. Neff and Madeline Bell, Producers"
1986,DOCUMENTARY (Short Subject),"Women--for America, for the World","Vivienne Verdon-Roe, Producer"
1986,MUSIC (Original Song),"""Glory Of Love"" from The Karate Kid Part II",Music by Peter Cetera and David Foster; Lyric by Peter Cetera and Diane Nini
1986,MUSIC (Original Song),"""Somewhere Out There"" from An American Tail",Music by James Horner and Barry Mann; Lyric by Cynthia Weil
1986,SHORT FILM (Animated),A Greek Tragedy,"Linda Van Tulden and Willem Thijssen, Producers"
1986,SHORT FILM (Live Action),Love Struck,"Fredda Weiss, Producer"
1986,WRITING (Screenplay Based on Material from Another Medium),Children of a Lesser God,"Hesper Anderson, Mark Medoff"
1986,WRITING (Screenplay Based on Material from Another Medium),Crimes of the Heart,Beth Henley
1986,WRITING (Screenplay Based on Material from Another Medium),A Room with a View,Ruth Prawer Jhabvala
1987,DOCUMENTARY (Feature),Eyes on the Prize: America's Civil Rights Years/Bridge to Freedom 1965,"Callie Crossley and James A. DeVinney, Producers"
1987,DOCUMENTARY (Feature),A Stitch for Time,"Barbara Herbich and Cyril Christo, Producers"
1987,DOCUMENTARY (Feature),The Ten-Year Lunch: The Wit and Legend of the Algonquin Round Table,"Aviva Slesin, Producer"
1987,DOCUMENTARY (Short Subject),Frances Steloff: Memoirs of a Bookseller,"Deborah Dickson, Producer"
1987,DOCUMENTARY (Short Subject),Language Says It All,"Megan Williams, Producer"
1987,DOCUMENTARY (Short Subject),Silver into Gold,"Lynn Mueller, Producer"
1987,DOCUMENTARY (Short Subject),Young at Heart,"Sue Marx and Pamela Conn, Producers"
1987,MUSIC (Original Song),"""Nothing's Gonna Stop Us Now"" from Mannequin",Music and Lyric by Albert Hammond and Diane Warren
1987,BEST PICTURE,Fatal Attraction,"Stanley R. Jaffe and Sherry Lansing, Producers"
1987,SHORT FILM (Animated),George and Rosemary,"Eunice Macaulay, Producer"
1987,SHORT FILM (Live Action),Making Waves,"Ann Wingate, Producer"
1987,SHORT FILM (Live Action),Ray's Male Heterosexual Dance Hall,"Jonathan Sanger and Jana Sue Memel, Producers"
1988,DOCUMENTARY (Feature),Let's Get Lost,"Bruce Weber and Nan Bush, Producers"
1988,DOCUMENTARY (Feature),Promises to Keep,"Ginny Durrin, Producer"
1988,DOCUMENTARY (Feature),Who Killed Vincent Chin?,"Renee Tajima and Christine Choy, Producers"
1988,DOCUMENTARY (Short Subject),The Children's Storefront,"Karen Goodman, Producer"
1988,DOCUMENTARY (Short Subject),Family Gathering,"Lise Yasui and Ann Tegnell, Producers"
1988,DOCUMENTARY (Short Subject),Portrait of Imogen,"Nancy Hale and Meg Partridge, Producers"
1988,MUSIC (Original Song),"""Let The River Run"" from Working Girl",Music and Lyric by Carly Simon
1988,BEST PICTURE,Dangerous Liaisons,"Norma Heyman and Hank Moonjean, Producers"
1988,SHORT FILM (Live Action),Cadillac Dreams,"Matia Karrell, Abbee Goldstein"
1988,WRITING (Screenplay Based on Material from Another Medium),Gorillas in the Mist,"Screenplay by Anna Hamilton Phelan; Story by Anna Hamilton Phelan, Tab Murphy"
1988,WRITING (Screenplay Based on Material from Another Medium),Little Dorrit,Christine Edzard
1988,WRITING (Screenplay Written Directly for the Screen),Big,"Gary Ross, Anne Spielberg"
1988,WRITING (Screenplay Written Directly for the Screen),Running on Empty,Naomi Foner
1989,DOCUMENTARY (Feature),Adam Clayton Powell,"Richard Kilberg and Yvonne Smith, Producers"
1989,DOCUMENTARY (Feature),For All Mankind,"Al Reinert and Betsy Broyles Breier, Producers"
1989,DOCUMENTARY (Feature),Super Chief: The Life and Legacy of Earl Warren,"Judith Leonard and Bill Jersey, Producers"
1989,MUSIC (Original Song),"""The Girl Who Used To Be Me"" from Shirley Valentine",Music by Marvin Hamlisch; Lyric by Alan Bergman and Marilyn Bergman
1989,BEST PICTURE,Driving Miss Daisy,"Richard D. Zanuck and Lili Fini Zanuck, Producers"
1989,WRITING (Screenplay Written Directly for the Screen),When Harry Met Sally...,Nora Ephron
1990,DOCUMENTARY (Feature),American Dream,"Barbara Kopple and Arthur Cohn, Producers"
1990,DOCUMENTARY (Feature),Building Bombs,"Mark Mori and Susan Robinson, Producers"
1990,DOCUMENTARY (Feature),Forever Activists: Stories from the Veterans of the Abraham Lincoln Brigade,"Judith Montell, Producer"
1990,DOCUMENTARY (Short Subject),Chimps: So Like Us,"Karen Goodman and Kirk Simon, Producers"
1990,DOCUMENTARY (Short Subject),Rose Kennedy: A Life to Remember,"Freida Lee Mock and Terry Sanders, Producers"
1990,BEST PICTURE,Ghost,"Lisa Weinstein, Producer"
1990,SHORT FILM (Live Action),12:01 PM,"Hillary Ripps, Jonathan Heap"
1991,DOCUMENTARY (Feature),Doing Time: Life inside the Big House,"Alan Raymond and Susan Raymond, Producers"
1991,DOCUMENTARY (Feature),In the Shadow of the Stars,"Allie Light and Irving Saraf, Producers"
1991,DOCUMENTARY (Feature),The Restless Conscience,"Hava Kohav Beller, Producer"
1991,DOCUMENTARY (Feature),Wild by Law,"Lawrence Hott and Diane Garey, Producers"
1991,DOCUMENTARY (Short Subject),"Deadly Deception: General Electric, Nuclear Weapons and Our Environment","Debra Chasnoff, Producer"
1991,DOCUMENTARY (Short Subject),A Little Vicious,"Immy Humes, Producer"
1991,BEST PICTURE,The Prince of Tides,"Barbra Streisand and Andrew Karsch, Producers"
1991,SHORT FILM (Animated),Strings,Wendy Tilby
1991,WRITING (Screenplay Based on Material Previously Produced or Published),Europa Europa,Agnieszka Holland
1991,WRITING (Screenplay Based on Material Previously Produced or Published),Fried Green Tomatoes,"Fannie Flagg, Carol Sobieski"
1991,WRITING (Screenplay Based on Material Previously Produced or Published),The Prince of Tides,"Pat Conroy, Becky Johnston"
1991,WRITING (Screenplay Written Directly for the Screen),Grand Canyon,"Lawrence Kasdan, Meg Kasdan"
1991,WRITING (Screenplay Written Directly for the Screen),Thelma & Louise,Callie Khouri
1992,DOCUMENTARY (Feature),Fires of Kuwait,"Sally Dundas, Producer"
1992,DOCUMENTARY (Feature),Liberators: Fighting on Two Fronts in World War II,"William Miles and Nina Rosenblum, Producers"
1992,DOCUMENTARY (Feature),Music for the Movies: Bernard Herrmann,"Margaret Smilow and Roma Baran, Producers"
1992,DOCUMENTARY (Feature),The Panama Deception,"Barbara Trent and David Kasper, Producers"
1992,DOCUMENTARY (Short Subject),Beyond Imagining: Margaret Anderson and the 'Little Review',"Wendy L. Weinberg, Producer"
1992,DOCUMENTARY (Short Subject),The Colours of My Father: A Portrait of Sam Borenstein,"Richard Elson and Sally Bochner, Producers"
1992,DOCUMENTARY (Short Subject),Educating Peter,"Thomas C. Goodwin and Gerardine Wurzburg, Producers"
1992,DOCUMENTARY (Short Subject),When Abortion Was Illegal: Untold Stories,"Dorothy Fadiman, Producer"
1992,MUSIC (Original Song),"""I Have Nothing"" from The Bodyguard",Music by David Foster; Lyric by Linda Thompson
1992,SHORT FILM (Animated),Mona Lisa Descending a Staircase,Joan C. Gratz
1992,SHORT FILM (Animated),"Reci, Reci, Reci... (Words, Words, Words)",Michaela Pavlátová
1992,SHORT FILM (Live Action),Contact,"Jonathan Darby, Jana Sue Memel"
1992,WRITING (Screenplay Based on Material Previously Produced or Published),Howards End,Ruth Prawer Jhabvala
1993,DIRECTING,The Piano,Jane Campion
1993,DOCUMENTARY (Feature),Children of Fate,"Susan Todd, Andrew Young"
1993,DOCUMENTARY (Feature),For Better or for Worse,"David Collier, Betsy Thompson"
1993,DOCUMENTARY (Feature),I Am a Promise: The Children of Stanton Elementary School,"Susan Raymond, Alan Raymond"
1993,DOCUMENTARY (Feature),The War Room,"D.A. Pennebaker, Chris Hegedus"
1993,DOCUMENTARY (Short Subject),Chicks in White Satin,"Elaine Holliman, Jason Schneider"
1993,DOCUMENTARY (Short Subject),Defending Our Lives,"Margaret Lazarus, Renner Wunderlich"
1993,MUSIC (Original Song),"""Again"" from Poetic Justice","Music and Lyric by Janet Jackson, James Harris III and Terry Lewis"
1993,MUSIC (Original Song),"""The Day I Fall In Love"" from Beethoven's 2nd","Music and Lyric by Carole Bayer Sager, James Ingram and Clif Magness"
1993,BEST PICTURE,The Piano,"Jan Chapman, Producer"
1993,SHORT FILM (Live Action),Down on the Waterfront,"Stacy Title, Jonathan Penner"
1993,SHORT FILM (Live Action),The Dutch Master,"Susan Seidelman, Jonathan Brett"
1993,SHORT FILM (Live Action),Partners,"Peter Weller, Jana Sue Memel"
1993,WRITING (Screenplay Based on Material Previously Produced or Published),The Remains of the Day,Ruth Prawer Jhabvala
1993,WRITING (Screenplay Written Directly for the Screen),The Piano,Jane Campion
1993,WRITING (Screenplay Written Directly for the Screen),Sleepless in Seattle,"Screenplay by Nora Ephron, David S. Ward, Jeff Arch; Story by Jeff Arch"
1994,DOCUMENTARY (Feature),Complaints of a Dutiful Daughter,Deborah Hoffmann
1994,DOCUMENTARY (Feature),Freedom on My Mind,"Connie Field, Marilyn Mulford"
1994,DOCUMENTARY (Feature),A Great Day in Harlem,Jean Bach
1994,DOCUMENTARY (Feature),Maya Lin: A Strong Clear Vision,"Freida Lee Mock, Terry Sanders"
1994,DOCUMENTARY (Short Subject),Straight from the Heart,"Dee Mosbacher, Frances Reid"
1994,MUSIC (Original Song),"""Look What Love Has Done"" from Junior","Music and Lyric by Carole Bayer Sager, James Newton Howard, James Ingram and Patty Smyth"
1994,BEST PICTURE,Forrest Gump,"Wendy Finerman, Steve Tisch and Steve Starkey, Producers"
1994,BEST PICTURE,The Shawshank Redemption,"Niki Marvin, Producer"
1994,SHORT FILM (Animated),Bob's Birthday,"Alison Snowden, David Fine"
1994,SHORT FILM (Animated),The Janitor,Vanessa Schwartz
1994,SHORT FILM (Animated),Triangle,Erica Russell
1994,SHORT FILM (Live Action),Franz Kafka's It's a Wonderful Life,"Peter Capaldi, Ruth Kenley-Letts"
1994,SHORT FILM (Live Action),Kangaroo Court,"Sean Astin, Christine Astin"
1994,SHORT FILM (Live Action),On Hope,"JoBeth Williams, Michele McGuire"
1994,SHORT FILM (Live Action),Trevor,"Peggy Rajski, Randy Stone"
1994,WRITING (Screenplay Written Directly for the Screen),Heavenly Creatures,"Frances Walsh, Peter Jackson"
1995,DOCUMENTARY (Feature),Troublesome Creek: A Midwestern,"Jeanne Jordan, Steven Ascher"
1995,DOCUMENTARY (Short Subject),Jim Dine: A Self-Portrait on the Walls,"Nancy Dine, Richard Stilwell"
1995,DOCUMENTARY (Short Subject),Never Give Up: The 20th Century Odyssey of Herbert Zipper,"Terry Sanders, Freida Lee Mock"
1995,MUSIC (Original Song),"""Moonlight"" from Sabrina",Music by John Williams; Lyric by Alan Bergman and Marilyn Bergman
1995,BEST PICTURE,Sense and Sensibility,"Lindsay Doran, Producer"
1995,SHORT FILM (Live Action),Lieberman in Love,"Christine Lahti, Jana Sue Memel"
1995,SHORT FILM (Live Action),Little Surprises,"Jeff Goldblum, Tikki Goldberg"
1995,SHORT FILM (Live Action),Tuesday Morning Ride,"Dianne Houston, Joy Ryan"
1995,WRITING (Screenplay Based on Material Previously Produced or Published),The Postman (Il Postino),"Anna Pavignano, Michael Radford, Furio Scarpelli, Giacomo Scarpelli, Massimo Troisi"
1995,WRITING (Screenplay Based on Material Previously Produced or Published),Sense and Sensibility,Emma Thompson
1996,DOCUMENTARY (Feature),The Line King: The Al Hirschfeld Story,Susan W. Dryfoos
1996,DOCUMENTARY (Feature),Suzanne Farrell: Elusive Muse,"Anne Belle, Deborah Dickson"
1996,DOCUMENTARY (Short Subject),Breathing Lessons: The Life and Work of Mark O'Brien,Jessica Yu
1996,DOCUMENTARY (Short Subject),Special Effects,"Susanne Simpson, Ben Burtt"
1996,MUSIC (Original Musical or Comedy Score),Emma,Rachel Portman
1996,MUSIC (Original Song),"""Because You Loved Me"" from Up Close and Personal",Music and Lyric by Diane Warren
1996,MUSIC (Original Song),"""I Finally Found Someone"" from The Mirror Has Two Faces","Music and Lyric by Barbra Streisand, Marvin Hamlisch, Bryan Adams and Robert 'Mutt' Lange"
1996,BEST PICTURE,Shine,"Jane Scott, Producer"
1996,SHORT FILM (Live Action),Wordless,"Bernadette Carranza, Antonello De Leo"
1997,DOCUMENTARY (Feature),Colors Straight Up,"Michèle Ohayon, Julia Schachter"
1997,DOCUMENTARY (Short Subject),Daughter of the Bride,Terri Randall
1997,DOCUMENTARY (Short Subject),Still Kicking: The Fabulous Palm Springs Follies,"Mel Damski, Andrea Blaugrund"
1997,DOCUMENTARY (Short Subject),A Story of Healing,"Donna Dewey, Carol Pasternak"
1997,MUSIC (Original Musical or Comedy Score),Anastasia,Music by Stephen Flaherty; Lyrics by Lynn Ahrens; Orchestral Score by David Newman
1997,MUSIC (Original Musical or Comedy Score),The Full Monty,Anne Dudley
1997,MUSIC (Original Song),"""How Do I Live"" from Con Air",Music and Lyric by Diane Warren
1997,MUSIC (Original Song),"""Journey To The Past"" from Anastasia",Music by Stephen Flaherty; Lyric by Lynn Ahrens
1997,BEST PICTURE,As Good as It Gets,"James L. Brooks, Bridget Johnson and Kristi Zea, Producers"
1997,SHORT FILM (Animated),Famous Fred,Joanna Quinn
1997,WRITING (Screenplay Based on Material Previously Produced or Published),Wag the Dog,"Hilary Henkin, David Mamet"
1998,DOCUMENTARY (Feature),"The Farm: Angola, U.S.A.","Jonathan Stack, Liz Garbus"
1998,DOCUMENTARY (Feature),Regret to Inform,"Barbara Sonneborn, Janet Cole"
1998,DOCUMENTARY (Short Subject),The Personals: Improvisations on Romance in the Golden Years,Keiko Ibi
1998,MUSIC (Original Song),"""I Don't Want To Miss A Thing"" from Armageddon",Music and Lyric by Diane Warren
1998,MUSIC (Original Song),"""The Prayer"" from Quest for Camelot","Music by Carole Bayer Sager and David Foster; Lyric by Carole Bayer Sager, David Foster, Tony Renis and Alberto Testa"
1998,MUSIC (Original Song),"""A Soft Place To Fall"" from The Horse Whisperer",Music and Lyric by Allison Moorer and Gwil Owen
1998,BEST PICTURE,Elizabeth,"Alison Owen, Eric Fellner and Tim Bevan, Producers"
1998,BEST PICTURE,Life Is Beautiful,"Elda Ferri and Gianluigi Braschi, Producers"
1998,BEST PICTURE,Shakespeare in Love,"David Parfitt, Donna Gigliotti, Harvey Weinstein, Edward Zwick and Marc Norman, Producers"
1998,WRITING (Screenplay Based on Material Previously Produced or Published),Primary Colors,Elaine May
1999,DOCUMENTARY (Feature),On the Ropes,"Nanette Burstein, Brett Morgen"
1999,DOCUMENTARY (Feature),Speaking in Strings,"Paola di Florio, Lilibet Foster"
