year,category,name_of_work,staff_members
1974,MUSIC (Song),"""Wherever Love Takes Me"" from Gold",Music by Elmer Bernstein; Lyrics by Don Black
1974,BEST PICTURE,Chinatown,"Robert Evans, Producer"
1974,BEST PICTURE,The Conversation,"Francis Ford Coppola, Producer; Fred Roos, Co-Producer"
1974,BEST PICTURE,The Godfather Part II,"Francis Ford Coppola, Producer; Gray Frederickson and Fred Roos, Co-Producers"
1974,BEST PICTURE,Lenny,"Marvin Worth, Producer"
1974,BEST PICTURE,The Towering Inferno,"Irwin Allen, Producer"
1974,SHORT FILM (Animated),Closed Mondays,"Will Vinton and Bob Gardiner, Producers"
1974,SHORT FILM (Animated),The Family That Dwelt Apart,"Yvon Mallette and Robert Verrall, Producers"
1974,SHORT FILM (Animated),Hunger,"Peter Foldes and René Jodoin, Producers"
1974,SHORT FILM (Animated),Voyage to Next,"Faith Hubley and John Hubley, Producers"
1974,SHORT FILM (Animated),Winnie the Pooh and Tigger Too,"Wolfgang Reitherman, Producer"
1974,SHORT FILM (Live Action),Climb,"Dewitt Jones, Producer"
1974,SHORT FILM (Live Action),The Concert,"Julian Chagrin and Claude Chagrin, Producers"
1974,SHORT FILM (Live Action),One-Eyed Men Are Kings,"Paul Claudon and Edmond Sechan, Producers"
1974,SHORT FILM (Live Action),Planet Ocean,"George V. Casey, Producer"
1974,SHORT FILM (Live Action),The Violin,"Andrew Welsh and George Pastic, Producers"
1974,WRITING (Original Screenplay),Alice Doesn't Live Here Anymore,Robert Getchell
1974,WRITING (Original Screenplay),Chinatown,Robert Towne
1974,WRITING (Original Screenplay),The Conversation,Francis Ford Coppola
1974,WRITING (Original Screenplay),Day for Night,"Francois Truffaut, Jean-Louis Richard, Suzanne Schiffman"
1974,WRITING (Original Screenplay),Harry and Tonto,"Paul Mazursky, Josh Greenfeld"
1974,WRITING (Screenplay Adapted from Other Material),The Apprenticeship of Duddy Kravitz,Screenplay by Mordecai Richler; Adaptation by Lionel Chetwynd
1974,WRITING (Screenplay Adapted from Other Material),The Godfather Part II,"Francis Ford Coppola, Mario Puzo"
1974,WRITING (Screenplay Adapted from Other Material),Lenny,Julian Barry
1974,WRITING (Screenplay Adapted from Other Material),Murder on the Orient Express,Paul Dehn
1974,WRITING (Screenplay Adapted from Other Material),Young Frankenstein,"Gene Wilder, Mel Brooks"
1975,DIRECTING,Amarcord,Federico Fellini
1975,DIRECTING,Barry Lyndon,Stanley Kubrick
1975,DIRECTING,Dog Day Afternoon,Sidney Lumet
1975,DIRECTING,Nashville,Robert Altman
1975,DIRECTING,One Flew over the Cuckoo's Nest,Milos Forman
1975,DOCUMENTARY (Feature),The California Reich,"Walter F. Parkes and Keith F. Critchlow, Producers"
1975,DOCUMENTARY (Feature),Fighting for Our Lives,"Glen Pearcy, Producer"
1975,DOCUMENTARY (Feature),The Incredible Machine,"Irwin Rosten, Producer"
1975,DOCUMENTARY (Feature),The Man Who Skied down Everest,"F. R. Crawley, James Hager and Dale Hartleben, Producers"
1975,DOCUMENTARY (Feature),The Other Half of the Sky: A China Memoir,"Shirley MacLaine, Producer"
1975,DOCUMENTARY (Short Subject),Arthur and Lillie,"Jon Else, Steven Kovacs and Kristine Samuelson, Producers"
1975,DOCUMENTARY (Short Subject),The End of the Game,"Claire Wilbur and Robin Lehman, Producers"
1975,DOCUMENTARY (Short Subject),Millions of Years Ahead of Man,"Manfred Baier, Producer"
1975,DOCUMENTARY (Short Subject),Probes in Space,"George V. Casey, Producer"
1975,DOCUMENTARY (Short Subject),Whistling Smith,"Barrie Howells and Michael Scott, Producers"
1975,DOCUMENTARY (Short Subject),Dersu Uzala,Union of Soviet Socialist Republics
1975,DOCUMENTARY (Short Subject),Land of Promise,Poland
1975,DOCUMENTARY (Short Subject),Letters from Marusia,Mexico
1975,DOCUMENTARY (Short Subject),Sandakan No. 8,Japan
1975,DOCUMENTARY (Short Subject),Scent of a Woman,Italy
1975,MUSIC (Original Score),"Birds Do It, Bees Do It",Gerald Fried
1975,MUSIC (Original Score),Bite the Bullet,Alex North
1975,MUSIC (Original Score),Jaws,John Williams
1975,MUSIC (Original Score),One Flew over the Cuckoo's Nest,Jack Nitzsche
1975,MUSIC (Original Score),The Wind and the Lion,Jerry Goldsmith
1975,MUSIC (Scoring: Original Song Score and Adaptation -or- Scoring: Adaptation),Barry Lyndon,Adaptation Score by Leonard Rosenman
1975,MUSIC (Scoring: Original Song Score and Adaptation -or- Scoring: Adaptation),Funny Lady,Adaptation Score by Peter Matz
1975,MUSIC (Scoring: Original Song Score and Adaptation -or- Scoring: Adaptation),Tommy,Adaptation Score by Peter Townshend
1975,MUSIC (Original Song),"""How Lucky Can You Get"" from Funny Lady",Music and Lyrics by Fred Ebb and John Kander
1975,MUSIC (Original Song),"""I'm Easy"" from Nashville",Music and Lyrics by Keith Carradine
1975,MUSIC (Original Song),"""Now That We're In Love"" from Whiffs",Music by George Barrie; Lyrics by Sammy Cahn
1975,MUSIC (Original Song),"""Richard's Window"" from The Other Side of the Mountain",Music by Charles Fox; Lyrics by Norman Gimbel
1975,MUSIC (Original Song),"""Theme From Mahogany (Do You Know Where You're Going To)"" from Mahogany",Music by Michael Masser; Lyrics by Gerry Goffin
1975,BEST PICTURE,Barry Lyndon,"Stanley Kubrick, Producer"
1975,BEST PICTURE,Dog Day Afternoon,"Martin Bregman and Martin Elfand, Producers"
1975,BEST PICTURE,Jaws,"Richard D. Zanuck and David Brown, Producers"
1975,BEST PICTURE,Nashville,"Robert Altman, Producer"
1975,BEST PICTURE,One Flew over the Cuckoo's Nest,"Saul Zaentz and Michael Douglas, Producers"
1975,SHORT FILM (Animated),Great,"Bob Godfrey, Producer"
1975,SHORT FILM (Animated),Kick Me,"Robert Swarthe, Producer"
1975,SHORT FILM (Animated),Monsieur Pointu,"René Jodoin, Bernard Longpré and André Leduc, Producers"
1975,SHORT FILM (Animated),Sisyphus,"Marcell Jankovics, Producer"
1975,SHORT FILM (Live Action),Angel and Big Joe,"Bert Salzman, Producer"
1975,SHORT FILM (Live Action),Conquest of Light,"Louis Marcus, Producer"
1975,SHORT FILM (Live Action),Dawn Flight,"Lawrence M. Lansburgh and Brian Lansburgh, Producers"
1975,SHORT FILM (Live Action),A Day in the Life of Bonnie Consolo,"Barry Spinello, Producer"
1975,SHORT FILM (Live Action),Doubletalk,"Alan Beattie, Producer"
1975,WRITING (Original Screenplay),Amarcord,"Federico Fellini, Tonino Guerra"
1975,WRITING (Original Screenplay),And Now My Love,"Claude Lelouch, Pierre Uytterhoeven"
1975,WRITING (Original Screenplay),Dog Day Afternoon,Frank Pierson
1975,WRITING (Original Screenplay),Lies My Father Told Me,Ted Allan
1975,WRITING (Original Screenplay),Shampoo,"Robert Towne, Warren Beatty"
1975,WRITING (Screenplay Adapted from Other Material),Barry Lyndon,Stanley Kubrick
1975,WRITING (Screenplay Adapted from Other Material),The Man Who Would Be King,"John Huston, Gladys Hill"
1975,WRITING (Screenplay Adapted from Other Material),One Flew over the Cuckoo's Nest,"Lawrence Hauben, Bo Goldman"
1975,WRITING (Screenplay Adapted from Other Material),Scent of a Woman,"Ruggero Maccari, Dino Risi"
1975,WRITING (Screenplay Adapted from Other Material),The Sunshine Boys,Neil Simon
1976,DIRECTING,All the President's Men,Alan J. Pakula
1976,DIRECTING,Face to Face,Ingmar Bergman
1976,DIRECTING,Network,Sidney Lumet
1976,DIRECTING,Rocky,John G. Avildsen
1976,DIRECTING,Seven Beauties,Lina Wertmüller
1976,DOCUMENTARY (Feature),"Harlan County, U.S.A.","Barbara Kopple, Producer"
1976,DOCUMENTARY (Feature),Hollywood on Trial,"James Gutman and David Helpern, Jr., Producers"
1976,DOCUMENTARY (Feature),Off the Edge,"Michael Firth, Producer"
1976,DOCUMENTARY (Feature),People of the Wind,"Anthony Howarth and David Koff, Producers"
1976,DOCUMENTARY (Feature),Volcano: An Inquiry into the Life and Death of Malcolm Lowry,"Donald Brittain and Robert Duncan, Producers"
1976,DOCUMENTARY (Short Subject),American Shoeshine,"Sparky Greene, Producer"
1976,DOCUMENTARY (Short Subject),Blackwood,"Tony Ianzelo and Andy Thomson, Producers"
1976,DOCUMENTARY (Short Subject),The End of the Road,"John Armstrong, Producer"
1976,DOCUMENTARY (Short Subject),Number Our Days,"Lynne Littman, Producer"
1976,DOCUMENTARY (Short Subject),Universe,"Lester Novros, Producer"
1976,DOCUMENTARY (Short Subject),Black and White in Color,Ivory Coast
1976,DOCUMENTARY (Short Subject),"Cousin, Cousine",France
1976,DOCUMENTARY (Short Subject),"Jacob, the Liar",German Democratic Republic
1976,DOCUMENTARY (Short Subject),Nights and Days,Poland
1976,DOCUMENTARY (Short Subject),Seven Beauties,Italy
1976,MUSIC (Original Score),Obsession,Bernard Herrmann
1976,MUSIC (Original Score),The Omen,Jerry Goldsmith
1976,MUSIC (Original Score),The Outlaw Josey Wales,Jerry Fielding
1976,MUSIC (Original Score),Taxi Driver,Bernard Herrmann
1976,MUSIC (Original Score),Voyage of the Damned,Lalo Schifrin
1976,MUSIC (Original Song Score and Its Adaptation or Adaptation Score),Bound for Glory,Adaptation Score by Leonard Rosenman
1976,MUSIC (Original Song Score and Its Adaptation or Adaptation Score),Bugsy Malone,Song Score and Adaptation Score by Paul Williams
1976,MUSIC (Original Song Score and Its Adaptation or Adaptation Score),A Star Is Born,Adaptation Score by Roger Kellaway
1976,MUSIC (Original Song),"""Ave Satani"" from The Omen",Music and Lyrics by Jerry Goldsmith
1976,MUSIC (Original Song),"""Come To Me"" from The Pink Panther Strikes Again",Music by Henry Mancini; Lyrics by Don Black
1976,MUSIC (Original Song),"""Evergreen (Love Theme From A Star Is Born)"" from A Star Is Born",Music by Barbra Streisand; Lyrics by Paul Williams
1976,MUSIC (Original Song),"""Gonna Fly Now"" from Rocky",Music by Bill Conti; Lyrics by Carol Connors and Ayn Robbins
1976,MUSIC (Original Song),"""A World That Never Was"" from Half a House",Music by Sammy Fain; Lyrics by Paul Francis Webster
1976,BEST PICTURE,All the President's Men,"Walter Coblenz, Producer"
1976,BEST PICTURE,Bound for Glory,"Robert F. Blumofe and Harold Leventhal, Producers"
1976,BEST PICTURE,Network,"Howard Gottfried, Producer"
